level,masc,fem,total,uf,mes,ano,var
Óbitos com causa desconhecida,0,0,0,al,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,6,1,7,al,jun,2020,suic
Óbitos criminais,0,0,0,al,jun,2020,suic
Óbitos suicídios,0,0,0,al,jun,2020,suic
Óbitos acidentais,0,0,0,al,jun,2020,suic
Óbitos com causa desconhecida,0,0,0,al,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,9,0,9,am,dez,2014,suic
Óbitos criminais,8,0,8,am,dez,2014,suic
Óbitos suicídios,1,0,1,am,dez,2014,suic
Óbitos acidentais,0,0,0,am,dez,2014,suic
Óbitos com causa desconhecida,3,0,3,am,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,3,0,3,am,jun,2014,suic
Óbitos criminais,10,0,10,am,jun,2014,suic
Óbitos suicídios,1,0,1,am,jun,2014,suic
Óbitos acidentais,0,0,0,am,jun,2014,suic
Óbitos com causa desconhecida,2,0,2,am,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,5,0,5,am,dez,2015,suic
Óbitos criminais,12,0,12,am,dez,2015,suic
Óbitos suicídios,3,1,4,am,dez,2015,suic
Óbitos acidentais,2,0,2,am,dez,2015,suic
Óbitos com causa desconhecida,0,0,0,am,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,2,0,2,am,dez,2016,suic
Óbitos criminais,10,0,10,am,dez,2016,suic
Óbitos suicídios,0,0,0,am,dez,2016,suic
Óbitos acidentais,0,0,0,am,dez,2016,suic
Óbitos com causa desconhecida,0,0,0,am,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,5,0,5,am,jun,2016,suic
Óbitos criminais,6,1,7,am,jun,2016,suic
Óbitos suicídios,0,0,0,am,jun,2016,suic
Óbitos acidentais,0,0,0,am,jun,2016,suic
Óbitos com causa desconhecida,0,0,0,am,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,4,0,4,am,dez,2017,suic
Óbitos criminais,6,0,6,am,dez,2017,suic
Óbitos suicídios,2,0,2,am,dez,2017,suic
Óbitos acidentais,3,0,3,am,dez,2017,suic
Óbitos com causa desconhecida,2,0,2,am,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,10,0,10,am,jun,2017,suic
Óbitos criminais,63,0,63,am,jun,2017,suic
Óbitos suicídios,0,0,0,am,jun,2017,suic
Óbitos acidentais,0,0,0,am,jun,2017,suic
Óbitos com causa desconhecida,0,0,0,am,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,1,1,2,am,dez,2018,suic
Óbitos criminais,3,2,5,am,dez,2018,suic
Óbitos suicídios,1,0,1,am,dez,2018,suic
Óbitos acidentais,0,0,0,am,dez,2018,suic
Óbitos com causa desconhecida,4,0,4,am,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,6,0,6,am,jun,2018,suic
Óbitos criminais,3,2,5,am,jun,2018,suic
Óbitos suicídios,0,0,0,am,jun,2018,suic
Óbitos acidentais,0,0,0,am,jun,2018,suic
Óbitos com causa desconhecida,0,0,0,am,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,5,0,5,am,dez,2019,suic
Óbitos criminais,24,0,24,am,dez,2019,suic
Óbitos suicídios,1,1,2,am,dez,2019,suic
Óbitos acidentais,1,0,1,am,dez,2019,suic
Óbitos com causa desconhecida,2,0,2,am,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,5,0,5,am,jun,2019,suic
Óbitos criminais,58,2,60,am,jun,2019,suic
Óbitos suicídios,1,1,2,am,jun,2019,suic
Óbitos acidentais,0,0,0,am,jun,2019,suic
Óbitos com causa desconhecida,0,0,0,am,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,1,0,1,am,dez,2020,suic
Óbitos criminais,90,3,93,am,dez,2020,suic
Óbitos suicídios,1,0,1,am,dez,2020,suic
Óbitos acidentais,0,0,0,am,dez,2020,suic
Óbitos com causa desconhecida,0,0,0,am,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,4,1,5,am,jun,2020,suic
Óbitos criminais,3,0,3,am,jun,2020,suic
Óbitos suicídios,0,0,0,am,jun,2020,suic
Óbitos acidentais,0,0,0,am,jun,2020,suic
Óbitos com causa desconhecida,2,0,2,am,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,2,0,2,ap,dez,2014,suic
Óbitos criminais,3,0,3,ap,dez,2014,suic
Óbitos suicídios,0,0,0,ap,dez,2014,suic
Óbitos acidentais,0,0,0,ap,dez,2014,suic
Óbitos com causa desconhecida,0,0,0,ap,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ap,jun,2014,suic
Óbitos criminais,0,0,0,ap,jun,2014,suic
Óbitos suicídios,0,0,0,ap,jun,2014,suic
Óbitos acidentais,0,0,0,ap,jun,2014,suic
Óbitos com causa desconhecida,0,0,0,ap,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,2,0,2,ap,dez,2015,suic
Óbitos criminais,7,0,7,ap,dez,2015,suic
Óbitos suicídios,0,0,0,ap,dez,2015,suic
Óbitos acidentais,0,0,0,ap,dez,2015,suic
Óbitos com causa desconhecida,0,0,0,ap,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ap,dez,2016,suic
Óbitos criminais,0,0,0,ap,dez,2016,suic
Óbitos suicídios,0,0,0,ap,dez,2016,suic
Óbitos acidentais,0,0,0,ap,dez,2016,suic
Óbitos com causa desconhecida,0,0,0,ap,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ap,jun,2016,suic
Óbitos criminais,2,0,2,ap,jun,2016,suic
Óbitos suicídios,0,0,0,ap,jun,2016,suic
Óbitos acidentais,0,0,0,ap,jun,2016,suic
Óbitos com causa desconhecida,3,0,3,ap,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ap,dez,2017,suic
Óbitos criminais,0,0,0,ap,dez,2017,suic
Óbitos suicídios,0,0,0,ap,dez,2017,suic
Óbitos acidentais,0,0,0,ap,dez,2017,suic
Óbitos com causa desconhecida,0,0,0,ap,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ap,jun,2017,suic
Óbitos criminais,0,0,0,ap,jun,2017,suic
Óbitos suicídios,0,0,0,ap,jun,2017,suic
Óbitos acidentais,0,0,0,ap,jun,2017,suic
Óbitos com causa desconhecida,0,0,0,ap,jun,2017,suic
