level,value,uf,mes,ano,var
População carcerária,31764,pe,dez,2015,pop
População carcerária por 100.000 habitantes,339.88176043857203,pe,dez,2015,pop
População carcerária,45878,pe,dez,2016,pop
População carcerária por 100.000 habitantes,490.9,pe,dez,2016,pop
População carcerária,34556,pe,jun,2016,pop
População carcerária por 100.000 habitantes,367.1962300223616,pe,jun,2016,pop
População carcerária,33085,pe,dez,2017,pop
População carcerária por 100.000 habitantes,349.24597282500036,pe,dez,2017,pop
População carcerária,31001,pe,jun,2017,pop
População carcerária por 100.000 habitantes,327.25,pe,jun,2017,pop
População carcerária,32188,pe,dez,2018,pop
População carcerária por 100.000 habitantes,338.9532800901067,pe,dez,2018,pop
População carcerária,31815,pe,jun,2018,pop
População carcerária por 100.000 habitantes,335.0254320264305,pe,jun,2018,pop
População carcerária,33706,pe,dez,2019,pop
População carcerária por 100.000 habitantes,352.68127651243776,pe,dez,2019,pop
População carcerária,33628,pe,jun,2019,pop
População carcerária por 100.000 habitantes,351.8651268783082,pe,jun,2019,pop
População carcerária,35727,pe,dez,2020,pop
População carcerária por 100.000 habitantes,371.5130293686317,pe,dez,2020,pop
População carcerária,33078,pe,jun,2020,pop
População carcerária por 100.000 habitantes,343.9669713509558,pe,jun,2020,pop
População carcerária,3182,pi,dez,2014,pop
População carcerária por 100.000 habitantes,99.5188877904211,pi,dez,2014,pop
População carcerária,3224,pi,jun,2014,pop
População carcerária por 100.000 habitantes,100.91657542230645,pi,jun,2014,pop
População carcerária,3720,pi,dez,2015,pop
População carcerária por 100.000 habitantes,116.13161833156326,pi,dez,2015,pop
População carcerária,4231,pi,dez,2016,pop
População carcerária por 100.000 habitantes,132.1,pi,dez,2016,pop
População carcerária,4032,pi,jun,2016,pop
População carcerária por 100.000 habitantes,125.5522883866313,pi,jun,2016,pop
População carcerária,4495,pi,dez,2017,pop
População carcerária por 100.000 habitantes,139.6284919159918,pi,dez,2017,pop
População carcerária,4368,pi,jun,2017,pop
População carcerária por 100.000 habitantes,135.68,pi,jun,2017,pop
População carcerária,4514,pi,dez,2018,pop
População carcerária por 100.000 habitantes,138.27407367245095,pi,dez,2018,pop
População carcerária,4016,pi,jun,2018,pop
População carcerária por 100.000 habitantes,123.01920245205207,pi,jun,2018,pop
População carcerária,4516,pi,dez,2019,pop
População carcerária por 100.000 habitantes,137.96782196896214,pi,dez,2019,pop
População carcerária,5125,pi,jun,2019,pop
População carcerária por 100.000 habitantes,156.57331434697318,pi,jun,2019,pop
População carcerária,5249,pi,dez,2020,pop
População carcerária por 100.000 habitantes,159.95831149359435,pi,dez,2020,pop
População carcerária,4658,pi,jun,2020,pop
